Run date,Cycle number,Protein concentration (μg/mL),Channel,Sample type,ASAP IDs,OpenBind IDs,SMILES,Sample concentration (M),ka (M-1s-1),ka error (%),kd (s-1),kd error (%),KD (M),Rmax (pg/mm2),Sqrt(Chi2) (pg/mm2),Used in analysis
18/03/2026,19,20.0,Ch 2-1,Sample,ASAP-0039757-001,OB-00006295-001-001,"CSc1ccc(Br)cc1OC(=O)N1C[C@H](C(N)=O)C[C@@H]2C[C@@H]21 |&1:14,19,21|",3e-06,73821.4,7.21937,0.0503235,6.19086,6.82e-07,19.2848,0.556066,True
18/03/2026,19,20.0,Ch 3-1,Sample,ASAP-0039757-001,OB-00006295-001-001,"CSc1ccc(Br)cc1OC(=O)N1C[C@H](C(N)=O)C[C@@H]2C[C@@H]21 |&1:14,19,21|",3e-06,67492.4,8.56101,0.053656,6.85706,7.95e-07,25.337,0.753805,True
18/03/2026,19,20.0,Ch 4-1,Sample,ASAP-0039757-001,OB-00006295-001-001,"CSc1ccc(Br)cc1OC(=O)N1C[C@H](C(N)=O)C[C@@H]2C[C@@H]21 |&1:14,19,21|",3e-06,73183.5,8.15013,0.0531081,6.9999,7.26e-07,21.5995,0.657585,True
18/03/2026,20,20.0,Ch 2-1,Sample,ASAP-0041772-001,OB-00006485-001-001,"CSc1ccc(Br)cc1OC(=O)N1C[C@H](C(N)=O)C[C@H]2C[C@H]21 |&1:14,19,21|",2.5e-06,54753.2,6.42945,0.0207493,4.06037,3.79e-07,35.9956,0.975121,True
18/03/2026,20,20.0,Ch 3-1,Sample,ASAP-0041772-001,OB-00006485-001-001,"CSc1ccc(Br)cc1OC(=O)N1C[C@H](C(N)=O)C[C@H]2C[C@H]21 |&1:14,19,21|",2.5e-06,52673.5,7.50371,0.021952,4.49923,4.17e-07,46.241,1.24605,True
18/03/2026,20,20.0,Ch 4-1,Sample,ASAP-0041772-001,OB-00006485-001-001,"CSc1ccc(Br)cc1OC(=O)N1C[C@H](C(N)=O)C[C@H]2C[C@H]21 |&1:14,19,21|",2.5e-06,72113.4,8.70849,0.0156847,7.54138,2.18e-07,32.0928,1.19146,True
18/03/2026,21,20.0,Ch 2-1,Sample,ASAP-0041689-001,OB-00006462-001-001,CSc1ncnc(N(C)C)c1CC(=O)N1CCC[C@H](C(N)=O)C1 |a:18|,5e-07,100.0,608384.0,1e-07,33500000.0,1e-09,0.001,0.769964,False
18/03/2026,21,20.0,Ch 3-1,Sample,ASAP-0041689-001,OB-00006462-001-001,CSc1ncnc(N(C)C)c1CC(=O)N1CCC[C@H](C(N)=O)C1 |a:18|,5e-07,100.0,7680000.0,1e-07,1220000000.0,1e-09,0.001,1.01496,False
18/03/2026,21,20.0,Ch 4-1,Sample,ASAP-0041689-001,OB-00006462-001-001,CSc1ncnc(N(C)C)c1CC(=O)N1CCC[C@H](C(N)=O)C1 |a:18|,5e-07,100.0,9670000.0,1e-07,1390000000.0,1e-09,0.001,0.847262,False
18/03/2026,22,20.0,Ch 2-1,Sample,ASAP-0043110-001,OB-00006539-001-001,CSc1ncnc(N2CCC[C@H]2C(N)=O)c1CC(=O)N1CCC[C@H](C(N)=O)C1 |&1:11|,2.5e-07,68190.9,399.202,0.00794797,56.0068,1.17e-07,12.1978,0.256475,False
18/03/2026,22,20.0,Ch 3-1,Sample,ASAP-0043110-001,OB-00006539-001-001,CSc1ncnc(N2CCC[C@H]2C(N)=O)c1CC(=O)N1CCC[C@H](C(N)=O)C1 |&1:11|,2.5e-07,60759.4,815.464,0.00592008,136.141,9.74e-08,13.3956,0.49481,False
18/03/2026,22,20.0,Ch 4-1,Sample,ASAP-0043110-001,OB-00006539-001-001,CSc1ncnc(N2CCC[C@H]2C(N)=O)c1CC(=O)N1CCC[C@H](C(N)=O)C1 |&1:11|,2.5e-07,313507.0,107.57,0.00604932,95.859,1.93e-08,3.09229,0.418003,True
18/03/2026,23,20.0,Ch 2-1,Sample,ASAP-0044159-001,OB-00006648-001-001,"COC(=O)N[C@H]1CCN(c2ncnc(SC)c2CC(=O)N2CCC[C@H](C(N)=O)C2)C1 |a:5,24|",2.5e-07,145676.0,301.468,0.0113988,75.0676,7.82e-08,4.27361,0.248479,False
18/03/2026,23,20.0,Ch 3-1,Sample,ASAP-0044159-001,OB-00006648-001-001,"COC(=O)N[C@H]1CCN(c2ncnc(SC)c2CC(=O)N2CCC[C@H](C(N)=O)C2)C1 |a:5,24|",2.5e-07,155615.0,610.827,0.00744729,245.04,4.79e-08,2.83107,0.439908,False
18/03/2026,23,20.0,Ch 4-1,Sample,ASAP-0044159-001,OB-00006648-001-001,"COC(=O)N[C@H]1CCN(c2ncnc(SC)c2CC(=O)N2CCC[C@H](C(N)=O)C2)C1 |a:5,24|",2.5e-07,266413.0,179.152,0.0204073,64.4841,7.66e-08,2.42312,0.295874,True
18/03/2026,30,20.0,Ch 2-1,Sample,ASAP-0044121-001,OB-00006702-001-001,CSc1ncnc(N(C)C2CCC2)c1CC(=O)N1CCC[C@H](C(N)=O)C1 |a:21|,2.5e-06,40997.7,7.04785,0.0171868,3.64103,4.19e-07,20.77,0.307946,True
