final rank,user,MAE_display,RAE_display,R2_display,Spearman R_display,Kendall's Tau_display,model details
25,riemann,0.1658 ± 0.0134,0.4382 ± 0.0340,0.6556 ± 0.0655,0.7993 ± 0.0333,0.6189 ± 0.0302,https://docs.google.com/document/d/1N_huCHcjGN2OpioMyZBE3Pi5LRhVJoG2t3CFkqIHy50/edit?usp=sharing
26,okidoki,0.1659 ± 0.0118,0.4385 ± 0.0327,0.6971 ± 0.0494,0.8331 ± 0.0306,0.6710 ± 0.0299,https://docs.google.com/document/d/1yD6ZppdthvohCvc1fYvUi57Jsxu1XS5nuRYwHEGblp4/edit?tab=t.0
27,JacksonBurns,0.1661 ± 0.0130,0.4388 ± 0.0328,0.6633 ± 0.0632,0.7982 ± 0.0323,0.6335 ± 0.0309,https://github.com/JacksonBurns/openadmet_expansionrx/tree/f8efff6e739555337043574af3657cbe7af3e478
28,robusta,0.1669 ± 0.0130,0.4411 ± 0.0330,0.6647 ± 0.0613,0.7927 ± 0.0399,0.6407 ± 0.0348,https://github.com/Ngoson2004/OpenADMET-ExpansionRX-Challenge.git
29,beardy-polonium,0.1670 ± 0.0135,0.4412 ± 0.0354,0.6485 ± 0.0682,0.7969 ± 0.0391,0.6465 ± 0.0342,https://drive.google.com/file/d/163hHzi_YIoM26sEFSTQ3Wo-2MzInuHeM/view?usp=drive_link
30,mechaman,0.1670 ± 0.0141,0.4414 ± 0.0361,0.6347 ± 0.0704,0.7785 ± 0.0405,0.6162 ± 0.0351,https://docs.google.com/document/d/1AKNCdPrxqh9QTG1RwOPitm7AUvUHLNl341EzFl9t4o8/edit?usp=sharing
31,Q_Accel,0.1673 ± 0.0134,0.4421 ± 0.0348,0.6549 ± 0.0704,0.8089 ± 0.0363,0.6484 ± 0.0319,https://docs.google.com/document/d/1f5yJKuEwGoVsXdp3lB_lnuruEi86-M7SNyhrRkBRbDs/edit?usp=sharing
32,nrosa1,0.1677 ± 0.0126,0.4432 ± 0.0326,0.6704 ± 0.0560,0.8099 ± 0.0357,0.6574 ± 0.0330,https://github.com/nrosa/openadmet-erx-challenge/blob/main/model_report.md
33,median3,0.1692 ± 0.0120,0.4473 ± 0.0322,0.6819 ± 0.0501,0.8200 ± 0.0310,0.6539 ± 0.0297,https://docs.google.com/document/d/1TC8rbtKGD0wOh3CmvKCnoz_Lkflniip9-4IgKkBPOY8/edit?usp=sharing
34,combo,0.1704 ± 0.0121,0.4504 ± 0.0324,0.6752 ± 0.0476,0.8161 ± 0.0278,0.6376 ± 0.0287,https://docs.google.com/document/d/1oWa1P6HHcntg8GSvAhLG8e576mYATK3HwOhCsVihWx8/edit?usp=drivesdk
35,madie31,0.1704 ± 0.0121,0.4504 ± 0.0324,0.6752 ± 0.0476,0.8161 ± 0.0278,0.6376 ± 0.0287,https://deu01.safelinks.protection.outlook.com/?url=https%3A%2F%2Fdocs.google.com%2Fdocument%2Fd%2F1bwf4dckzznWy4DbNXrNxB_jbWFAwRAGa%2Fedit%3Fusp%3Ddrive_link%26ouid%3D100007225775794272332%26rtpof%3Dtrue%26sd%3Dtrue&data=05%7C02%7CLaetitia.Breuil%40evotec.com%7C6adc287ff3c74acba6d008de56a9a9f2%7C3047e55219ba4ca2a020799287660985%7C0%7C0%7C639043483862053326%7CUnknown%7CTWFpbGZsb3d8eyJFbXB0eU1hcGkiOnRydWUsIlYiOiIwLjAuMDAwMCIsIlAiOiJXaW4zMiIsIkFOIjoiTWFpbCIsIldUIjoyfQ%3D%3D%7C0%7C%7C%7C&sdata=W%2BY9Rq8RyDV5P2u3sO5%2Bi1CT1Tlwlv5tA0qHU%2BkppM0%3D&reserved=0
36,chundu05,0.1705 ± 0.0139,0.4505 ± 0.0361,0.6241 ± 0.0714,0.7992 ± 0.0349,0.6336 ± 0.0327,https://docs.google.com/document/d/1DMiIxDK20FzTZgmBoZsy_FQw0iJGHhZYAhiNAc_SV_Q/edit?tab=t.0#heading=h.s2yx44dt2a2z
