final rank,user,MAE_display,RAE_display,R2_display,Spearman R_display,Kendall's Tau_display,model details
25,arabica,0.3441 ± 0.0081,0.8150 ± 0.0220,0.3357 ± 0.0326,0.5842 ± 0.0212,0.4172 ± 0.0167,https://github.com/Ngoson2004/OpenADMET-ExpansionRX-Challenge.git
26,echo,0.3442 ± 0.0075,0.8155 ± 0.0211,0.3589 ± 0.0337,0.5757 ± 0.0214,0.4096 ± 0.0169,https://docs.google.com/document/d/1nUIr9-EZc401HPdzErG6YnzW3BVy7I2CHUXqaIELLaY/edit?usp=sharing
27,briford,0.3443 ± 0.0080,0.8156 ± 0.0201,0.3301 ± 0.0319,0.5625 ± 0.0212,0.3979 ± 0.0164,https://github.com/SuperCowPowers/workbench/tree/main/open_admet
28,interstellar-explorer,0.3447 ± 0.0080,0.8165 ± 0.0220,0.3345 ± 0.0358,0.5811 ± 0.0217,0.4128 ± 0.0171,https://docs.google.com/document/d/1cplc30gDCRcweL39KcN27ANOYPi9sZD_tAtfnMwgoeU/edit?usp=sharing
29,nrosa1,0.3468 ± 0.0077,0.8216 ± 0.0207,0.3306 ± 0.0341,0.5664 ± 0.0212,0.4012 ± 0.0164,https://github.com/nrosa/openadmet-erx-challenge/blob/main/model_report.md
30,robusta,0.3471 ± 0.0081,0.8221 ± 0.0223,0.3338 ± 0.0332,0.5984 ± 0.0202,0.4247 ± 0.0160,https://github.com/Ngoson2004/OpenADMET-ExpansionRX-Challenge.git
31,c-test,0.3477 ± 0.0076,0.8236 ± 0.0215,0.3463 ± 0.0348,0.5638 ± 0.0221,0.4008 ± 0.0173,https://docs.google.com/document/d/1-JpjWNB5aB2ShLqFGz7Yhf7g-lrMqXV3PHoufH3tho8/edit?tab=t.0
32,chundu05,0.3482 ± 0.0079,0.8247 ± 0.0197,0.3348 ± 0.0301,0.5415 ± 0.0220,0.3788 ± 0.0168,https://docs.google.com/document/d/1DMiIxDK20FzTZgmBoZsy_FQw0iJGHhZYAhiNAc_SV_Q/edit?tab=t.0#heading=h.s2yx44dt2a2z
33,combo,0.3514 ± 0.0081,0.8323 ± 0.0209,0.3270 ± 0.0315,0.5365 ± 0.0225,0.3773 ± 0.0172,https://docs.google.com/document/d/1oWa1P6HHcntg8GSvAhLG8e576mYATK3HwOhCsVihWx8/edit?usp=drivesdk
34,shin-chan,0.3515 ± 0.0076,0.8326 ± 0.0233,0.3392 ± 0.0368,0.6094 ± 0.0197,0.4352 ± 0.0158,https://docs.google.com/document/d/1A6sRjezd7GSeLatF7VTE9NeFhmA4rSzmgTvZTL1_Nh4/edit?usp=sharing
35,jonswain,0.3519 ± 0.0084,0.8336 ± 0.0198,0.3050 ± 0.0319,0.5571 ± 0.0207,0.3911 ± 0.0160,https://github.com/jonswain/OpenADMET_ExpansionRx_Blind_Challenge
36,massazahdeh,0.3527 ± 0.0080,0.8354 ± 0.0203,0.3235 ± 0.0321,0.5273 ± 0.0223,0.3691 ± 0.0170,https://huggingface.co/spaces/openadmet/OpenADMET-ExpansionRx-Challenge
37,crh201,0.3529 ± 0.0075,0.8358 ± 0.0205,0.3446 ± 0.0326,0.5788 ± 0.0197,0.4064 ± 0.0154,https://docs.google.com/document/d/1bMJvlXRRXZ6S-ZnoGmGkYXiIbZNwiDCp23j-Oq3pOJ0/edit?tab=t.0#heading=h.bjzyy4l1sb7l
38,itetko,0.3532 ± 0.0080,0.8367 ± 0.0198,0.3182 ± 0.0304,0.5123 ± 0.0227,0.3575 ± 0.0171,https://docs.google.com/document/d/1wh6lkdgEl7lMLSyxhuMXVd3E4Pqqbo--lPdxb_hoTkM/edit?tab=t.0
39,Shorku,0.3546 ± 0.0080,0.8400 ± 0.0224,0.3032 ± 0.0373,0.5581 ± 0.0222,0.3965 ± 0.0174,https://github.com/Shorku/OpenADMET_ExpansionRx_Blind_Challenge
