,ECFP4,RDKit2D,MoLFormer,POTS,ECFP+POTS
LogD,0.7572582534257383,0.7240064490122544,0.8470635380772583,0.9319575647125762,0.7494003778894738
KSOL,0.7944523763216127,0.9164645398822107,0.9270285911923065,0.8251890579024949,0.813290450586103
HLM CLint,0.9320991107319025,0.8685254129431617,0.9794366455433535,1.0893038383896498,0.9986029192810845
MLM CLint,0.8978657324583714,0.9400940474489953,0.9035584577297927,0.941874861188863,0.8852036717440065
Caco-2 Permeability Papp A>B,1.008406375611585,0.8710184780525465,1.1117963733899714,0.9212690123909232,0.9344456611654683
Caco-2 Permeability Efflux,0.8837666074745609,0.8185060362076546,0.9661676989567662,0.9608504078862843,0.9370216943232078
MPPB,0.8710016295932237,0.9173542230737513,1.0070794676885721,0.881823157232991,0.8660553289438656
MBPB,0.6383116688215642,0.6344452883675857,0.763062436609766,0.7140667219856441,0.6584341760572497
MGMB,0.6035302208054313,0.6715193008308479,0.7293382298755441,0.6282154051694387,0.5723956240804743
