rank,user,MA-RAE,R2,Spearman R,Kendall's Tau,submission time,model details
292,Egabrielle,0.83 +/- 0.03,0.18 +/- 0.06,0.58 +/- 0.03,0.42 +/- 0.02,2026-01-07 17:07:43+00:00,
293,gamma,0.84 +/- 0.02,0.21 +/- 0.02,0.79 +/- 0.02,0.59 +/- 0.02,2026-01-19 13:47:43+00:00,
294,Mohitlikestocode,0.84 +/- 0.03,0.16 +/- 0.05,0.54 +/- 0.03,0.38 +/- 0.03,2025-11-23 06:27:30+00:00,
295,sunnysideup,0.84 +/- 0.03,0.22 +/- 0.05,0.55 +/- 0.03,0.39 +/- 0.02,2025-12-20 13:51:47+00:00,
296,Apxjmd,0.85 +/- 0.03,0.15 +/- 0.05,0.55 +/- 0.03,0.40 +/- 0.02,2026-01-19 16:26:14+00:00,https://docs.google.com/document/d/1r3o16KmaizQJb67i8G6lsYeIVsjUp3pSsK5u5GPqrBs/edit?usp=sharing
297,ck241,0.85 +/- 0.03,0.11 +/- 0.07,0.61 +/- 0.03,0.44 +/- 0.02,2025-12-28 15:01:40+00:00,
298,lancet2,0.85 +/- 0.03,0.18 +/- 0.05,0.56 +/- 0.03,0.40 +/- 0.03,2025-12-14 17:54:54+00:00,
299,jasonlin90125,0.85 +/- 0.03,0.13 +/- 0.05,0.53 +/- 0.03,0.38 +/- 0.03,2025-11-18 20:42:06+00:00,
300,lucs1,0.86 +/- 0.03,0.17 +/- 0.05,0.53 +/- 0.03,0.37 +/- 0.02,2025-12-27 15:51:33+00:00,
301,aptest,0.86 +/- 0.04,0.12 +/- 0.06,0.57 +/- 0.03,0.41 +/- 0.02,2026-01-19 13:18:06+00:00,
302,dltaa_team,0.87 +/- 0.03,0.13 +/- 0.05,0.50 +/- 0.03,0.36 +/- 0.03,2026-01-16 16:22:33+00:00,
303,eachanjohnson,0.87 +/- 0.03,0.15 +/- 0.05,0.53 +/- 0.03,0.38 +/- 0.02,2026-01-19 01:01:32+00:00,https://github.com/eachanjohnson/challenge-2601-openadmet
304,xyxmxy,0.88 +/- 0.03,0.10 +/- 0.05,0.50 +/- 0.03,0.36 +/- 0.03,2026-01-19 07:51:11+00:00,
305,metro_mehed,0.88 +/- 0.03,0.14 +/- 0.05,0.54 +/- 0.03,0.38 +/- 0.02,2026-01-19 19:07:46+00:00,https://docs.google.com/document/d/1xseb0nWU162fvvG8jFDoEKX_nx4qEflHMrNmDNSn2Oo/edit?usp=drive_link
306,chsk1508,0.89 +/- 0.04,-0.22 +/- 0.19,0.59 +/- 0.03,0.43 +/- 0.03,2025-12-28 20:05:37+00:00,
307,baselining,0.89 +/- 0.04,0.08 +/- 0.06,0.55 +/- 0.03,0.40 +/- 0.02,2026-01-05 17:59:09+00:00,
308,ProtonSci,0.89 +/- 0.03,-0.02 +/- 0.05,0.63 +/- 0.03,0.46 +/- 0.02,2025-12-11 16:28:33+00:00,
309,sudhir2016,0.89 +/- 0.03,0.09 +/- 0.06,0.54 +/- 0.03,0.38 +/- 0.02,2026-01-17 16:06:17+00:00,https://gist.github.com/sudhir2016/e6a488fe6a856dfc3d8b6734b612a6a5
310,DrSmith,0.90 +/- 0.03,-0.00 +/- 0.06,0.49 +/- 0.04,0.35 +/- 0.03,2025-11-20 22:21:55+00:00,
311,6Nsec,0.91 +/- 0.03,0.01 +/- 0.06,0.53 +/- 0.03,0.38 +/- 0.03,2026-01-17 22:16:14+00:00,
312,NHRI_MTForestNet_L4_MAE,0.91 +/- 0.03,0.01 +/- 0.05,0.49 +/- 0.04,0.34 +/- 0.03,2025-11-18 08:09:24+00:00,
313,NHRI_MTForestNet_L3_MAE,0.92 +/- 0.03,0.00 +/- 0.05,0.49 +/- 0.03,0.34 +/- 0.03,2025-11-18 08:06:59+00:00,
314,morgul,0.92 +/- 0.03,-0.03 +/- 0.05,0.44 +/- 0.04,0.31 +/- 0.03,2026-01-13 21:15:54+00:00,
315,emsciage,0.93 +/- 0.04,-0.22 +/- 0.11,0.63 +/- 0.03,0.47 +/- 0.02,2025-11-09 01:57:24+00:00,
316,aime,0.94 +/- 0.03,0.08 +/- 0.05,0.49 +/- 0.04,0.34 +/- 0.03,2025-12-07 00:58:02+00:00,
317,mtqspr_pcamor,0.94 +/- 0.04,0.00 +/- 0.08,0.71 +/- 0.02,0.53 +/- 0.02,2026-01-18 00:16:27+00:00,https://docs.google.com/document/d/1knr4cDWE-Tn0ZmcTqSCfADTN2d6BIQqsnfaN6URv9Nk/edit?usp=sharing
318,NHRI_MTForestNet_L2_MAE,0.94 +/- 0.03,-0.04 +/- 0.05,0.47 +/- 0.04,0.33 +/- 0.03,2025-11-18 08:02:57+00:00,
319,NHRI_MTForestNet_L2_MAE_round1,0.94 +/- 0.03,-0.04 +/- 0.05,0.47 +/- 0.04,0.33 +/- 0.03,2025-11-18 08:14:01+00:00,
320,MINTYBOMB,0.95 +/- 0.04,-0.18 +/- 0.09,0.51 +/- 0.03,0.37 +/- 0.03,2026-01-18 14:35:03+00:00,
321,haleemiliyash,0.95 +/- 0.04,-0.06 +/- 0.07,0.53 +/- 0.03,0.38 +/- 0.03,2025-12-28 18:09:26+00:00,https://docs.google.com/document/d/1QKNw_Ev6EVsh2faLWFhflS22xxFrdWwcPvSdwYRMBJ0/edit?usp=sharing
322,address,0.96 +/- 0.04,-0.12 +/- 0.09,0.61 +/- 0.03,0.44 +/- 0.02,2026-01-16 23:58:02+00:00,
323,ragu,0.96 +/- 0.04,-0.12 +/- 0.09,0.61 +/- 0.03,0.44 +/- 0.02,2026-01-16 22:09:51+00:00,
324,TheMysteryMan,0.96 +/- 0.04,-0.12 +/- 0.07,0.43 +/- 0.04,0.30 +/- 0.03,2025-10-31 16:03:14+00:00,
325,trydemo2,0.96 +/- 0.04,-0.32 +/- 0.11,0.59 +/- 0.03,0.43 +/- 0.02,2025-11-16 07:26:21+00:00,
326,sandbox,0.97 +/- 0.04,-0.07 +/- 0.07,0.73 +/- 0.02,0.55 +/- 0.02,2026-01-19 15:14:03+00:00,
327,SunntSideUp,1.00 +/- 0.03,-0.17 +/- 0.06,0.42 +/- 0.04,0.29 +/- 0.03,2025-12-30 13:43:16+00:00,
328,thmtt,1.00 +/- 0.04,-0.16 +/- 0.06,0.35 +/- 0.04,0.25 +/- 0.03,2025-11-04 23:46:56+00:00,
329,nlp,1.01 +/- 0.04,-0.10 +/- 0.07,0.47 +/- 0.04,0.33 +/- 0.03,2026-01-19 03:50:01+00:00,
330,CNMP_e3fp,1.04 +/- 0.03,-0.15 +/- 0.05,0.20 +/- 0.04,0.14 +/- 0.03,2025-12-10 22:11:42+00:00,
331,latticetower,1.04 +/- 0.04,-0.36 +/- 0.10,0.48 +/- 0.03,0.34 +/- 0.03,2026-01-19 23:30:22+00:00,https://github.com/latticetower/chemney
332,zyrlia,1.04 +/- 0.03,-0.16 +/- 0.05,0.33 +/- 0.04,0.22 +/- 0.03,2025-12-17 03:28:03+00:00,
333,ld502,1.06 +/- 0.02,-0.20 +/- 0.03,0.51 +/- 0.02,0.36 +/- 0.02,2025-11-20 04:31:57+00:00,
334,openadmet-dummy,1.08 +/- 0.02,-0.20 +/- 0.03,nan +/- nan,nan +/- nan,2025-10-23 18:47:43+00:00,
335,phazer,1.12 +/- 0.03,-0.39 +/- 0.06,0.21 +/- 0.04,0.14 +/- 0.03,2025-11-01 21:00:59+00:00,
336,okidoki,1.15 +/- 0.04,-0.73 +/- 0.10,0.41 +/- 0.02,0.32 +/- 0.02,2026-01-18 07:47:05+00:00,
337,nhkhiem1998,1.15 +/- 0.05,-0.88 +/- 0.13,0.54 +/- 0.03,0.41 +/- 0.02,2025-11-13 15:35:49+00:00,
338,KyNguyen,1.20 +/- 0.04,-0.62 +/- 0.07,0.24 +/- 0.04,0.16 +/- 0.03,2025-11-22 05:14:35+00:00,
339,NirajanB,1.22 +/- 0.05,-0.98 +/- 0.13,0.60 +/- 0.03,0.44 +/- 0.02,2026-01-02 19:40:06+00:00,
340,bhatnira,1.22 +/- 0.05,-0.98 +/- 0.13,0.60 +/- 0.03,0.44 +/- 0.02,2026-01-02 19:16:06+00:00,
341,redjay,1.25 +/- 0.04,-0.59 +/- 0.08,0.14 +/- 0.04,0.10 +/- 0.03,2026-01-18 19:24:11+00:00,https://docs.google.com/document/d/1QHhGtEriIm0jGCY5NdTxCxkS6xkUMPakCwgePgGcCj8/edit?tab=t.0
342,thunder,1.28 +/- 0.06,-0.87 +/- 0.14,0.50 +/- 0.03,0.35 +/- 0.03,2026-01-09 13:52:18+00:00,
343,Z3eus,1.31 +/- 0.04,-0.87 +/- 0.08,0.13 +/- 0.04,0.09 +/- 0.03,2025-12-24 12:52:38+00:00,
344,AIME,1.31 +/- 0.04,-0.82 +/- 0.10,0.01 +/- 0.04,0.00 +/- 0.03,2025-12-10 17:15:48+00:00,
345,baseline_v2,1.32 +/- 0.04,-0.72 +/- 0.09,0.26 +/- 0.04,0.18 +/- 0.03,2025-11-15 19:40:44+00:00,
346,Srajall,1.43 +/- 0.06,-1.33 +/- 0.14,0.36 +/- 0.03,0.27 +/- 0.03,2026-01-19 18:45:24+00:00,https://github.com/srajalcodes/ADMET-Challenge-Report-Methodology/blob/main/README.md
347,boltzmann_Hy,1.44 +/- 0.06,-1.07 +/- 0.12,0.52 +/- 0.03,0.38 +/- 0.02,2026-01-19 09:20:51+00:00,
348,boltzmann_xgb,1.44 +/- 0.06,-1.09 +/- 0.13,0.47 +/- 0.04,0.34 +/- 0.03,2026-01-19 09:49:28+00:00,https://docs.google.com/document/d/1RFuSB9CzAwwysvgjP2Bo0RXWbIUZsKF-/edit?usp=sharing&ouid=111440856211122900819&rtpof=true&sd=true
349,Boltz-anki,1.48 +/- 0.06,-1.27 +/- 0.14,0.41 +/- 0.04,0.29 +/- 0.03,2026-01-19 09:59:49+00:00,
350,eb_drug_8,1.48 +/- 0.06,-1.80 +/- 0.16,0.38 +/- 0.04,0.27 +/- 0.03,2026-01-05 15:21:57+00:00,
351,khayalagbv,1.51 +/- 0.06,-2.05 +/- 0.17,0.43 +/- 0.04,0.31 +/- 0.03,2026-01-06 06:16:40+00:00,
352,Curie,1.58 +/- 0.06,-1.83 +/- 0.16,0.14 +/- 0.04,0.10 +/- 0.03,2026-01-10 17:30:29+00:00,
353,Gamma,1.60 +/- 0.06,-1.89 +/- 0.17,0.13 +/- 0.04,0.09 +/- 0.03,2026-01-10 17:04:09+00:00,
354,DMak,1.61 +/- 0.07,-2.09 +/- 0.20,0.65 +/- 0.02,0.48 +/- 0.02,2025-11-14 13:02:30+00:00,
355,lic90476,1.73 +/- 0.07,-2.19 +/- 0.18,0.41 +/- 0.03,0.29 +/- 0.02,2025-12-06 15:27:43+00:00,
356,logd_ornot_logd,1.82 +/- 0.07,-2.44 +/- 0.23,0.83 +/- 0.01,0.65 +/- 0.01,2026-01-19 04:04:26+00:00,
357,gambit,1.86 +/- 0.07,-3.16 +/- 0.28,0.78 +/- 0.02,0.60 +/- 0.02,2026-01-19 19:36:13+00:00,
358,boltzmann,1.88 +/- 0.07,-2.18 +/- 0.20,0.56 +/- 0.03,0.41 +/- 0.02,2026-01-18 17:19:14+00:00,
359,wolf,1.92 +/- 0.07,-3.14 +/- 0.25,-0.02 +/- 0.04,-0.01 +/- 0.03,2026-01-11 09:09:46+00:00,
360,wolf,1.93 +/- 0.08,-9.51 +/- 0.70,0.46 +/- 0.04,0.32 +/- 0.03,2026-01-07 21:45:48+00:00,
361,little-WM-atw-2,1.93 +/- 0.07,-2.92 +/- 0.21,0.02 +/- 0.04,0.02 +/- 0.03,2026-01-10 17:47:00+00:00,https://github.com/azminewasi/OpenADMET_ExpansionRx
362,Gante,1.94 +/- 0.08,-3.37 +/- 0.29,0.72 +/- 0.02,0.54 +/- 0.02,2026-01-17 06:52:29+00:00,
363,cda7gatech2,2.07 +/- 0.09,-3.18 +/- 0.27,0.70 +/- 0.03,0.53 +/- 0.02,2025-12-11 01:45:19+00:00,
364,wwang777,2.07 +/- 0.09,-3.16 +/- 0.27,0.72 +/- 0.03,0.54 +/- 0.02,2025-12-10 23:37:30+00:00,
365,MichaelW,2.07 +/- 0.08,-3.15 +/- 0.26,0.68 +/- 0.03,0.51 +/- 0.02,2025-12-11 02:00:30+00:00,
366,cda7gatech,2.07 +/- 0.08,-3.15 +/- 0.26,0.68 +/- 0.03,0.51 +/- 0.02,2025-12-11 00:01:25+00:00,
367,cd10kfsu,2.08 +/- 0.09,-3.18 +/- 0.27,0.70 +/- 0.03,0.52 +/- 0.02,2025-12-11 00:14:25+00:00,
368,rhlin1023,2.10 +/- 0.09,-3.19 +/- 0.28,0.57 +/- 0.03,0.42 +/- 0.03,2025-11-23 13:47:53+00:00,
369,zombie,2.12 +/- 0.08,-3.86 +/- 0.30,0.83 +/- 0.02,0.66 +/- 0.03,2026-01-19 17:23:02+00:00,
370,rusty,2.12 +/- 0.08,-3.85 +/- 0.30,0.84 +/- 0.02,0.67 +/- 0.02,2026-01-09 15:10:35+00:00,
371,grico,2.18 +/- 0.09,-3.48 +/- 0.28,-0.04 +/- 0.05,-0.02 +/- 0.03,2026-01-18 21:52:07+00:00,
372,rider,2.19 +/- 0.09,-3.72 +/- 0.33,0.15 +/- 0.04,0.11 +/- 0.03,2026-01-18 21:25:52+00:00,
373,workshop,2.22 +/- 0.09,-3.76 +/- 0.33,0.16 +/- 0.04,0.12 +/- 0.03,2026-01-18 07:53:51+00:00,
374,nicasio-umap,2.36 +/- 0.10,-4.51 +/- 0.37,0.62 +/- 0.02,0.46 +/- 0.02,2025-12-09 15:17:06+00:00,
375,boulder,2.39 +/- 0.10,-4.22 +/- 0.34,0.01 +/- 0.04,0.00 +/- 0.03,2026-01-15 20:48:36+00:00,
376,santa-vixen,2.39 +/- 0.10,-4.22 +/- 0.34,0.01 +/- 0.04,0.01 +/- 0.03,2025-12-22 18:43:58+00:00,
377,ricecooker,2.39 +/- 0.10,-4.23 +/- 0.34,-0.01 +/- 0.04,-0.01 +/- 0.03,2026-01-18 00:09:14+00:00,
378,refit,2.39 +/- 0.10,-4.23 +/- 0.34,-0.02 +/- 0.04,-0.01 +/- 0.03,2026-01-15 10:51:41+00:00,
379,clocktower,2.43 +/- 0.10,-4.83 +/- 0.40,0.74 +/- 0.02,0.56 +/- 0.02,2025-12-04 18:20:35+00:00,
380,beta,2.43 +/- 0.10,-18.67 +/- 1.30,0.39 +/- 0.04,0.28 +/- 0.03,2026-01-08 19:58:10+00:00,
381,newton,2.43 +/- 0.10,-18.28 +/- 1.29,0.40 +/- 0.04,0.28 +/- 0.03,2026-01-08 17:41:33+00:00,
382,clocktower2,2.44 +/- 0.10,-4.83 +/- 0.40,0.72 +/- 0.02,0.54 +/- 0.02,2025-12-02 07:06:29+00:00,
383,pearl56,2.46 +/- 0.10,-18.62 +/- 1.29,0.41 +/- 0.04,0.29 +/- 0.03,2026-01-08 12:55:23+00:00,
384,miles,2.48 +/- 0.10,-4.90 +/- 0.40,0.79 +/- 0.02,0.62 +/- 0.02,2026-01-17 07:24:15+00:00,
385,vaishn,2.49 +/- 0.10,-4.76 +/- 0.36,0.81 +/- 0.02,0.61 +/- 0.02,2026-01-11 15:04:08+00:00,
386,Nandini102002,2.49 +/- 0.10,-4.83 +/- 0.36,0.64 +/- 0.03,0.46 +/- 0.03,2026-01-19 11:34:47+00:00,
387,vyshu54,2.49 +/- 0.10,-4.83 +/- 0.36,0.64 +/- 0.03,0.46 +/- 0.03,2026-01-19 11:28:39+00:00,
388,mart78,2.54 +/- 0.11,-5.14 +/- 0.41,0.90 +/- 0.01,0.74 +/- 0.01,2025-12-14 05:47:55+00:00,
389,Gvyn,2.54 +/- 0.10,-4.99 +/- 0.40,0.67 +/- 0.02,0.49 +/- 0.01,2026-01-19 11:55:42+00:00,
390,alligater,2.54 +/- 0.10,-4.99 +/- 0.40,0.67 +/- 0.02,0.49 +/- 0.01,2026-01-19 14:17:19+00:00,
391,vaishnavi,2.55 +/- 0.11,-5.15 +/- 0.41,0.86 +/- 0.01,0.70 +/- 0.01,2025-12-14 22:50:06+00:00,
392,lds,2.55 +/- 0.11,-5.15 +/- 0.41,0.88 +/- 0.01,0.71 +/- 0.01,2025-12-17 13:27:12+00:00,
393,wigu,2.55 +/- 0.11,-5.16 +/- 0.41,0.83 +/- 0.01,0.68 +/- 0.01,2025-11-19 18:15:01+00:00,
394,rabbit,2.55 +/- 0.11,-5.15 +/- 0.41,0.85 +/- 0.01,0.67 +/- 0.01,2025-11-28 00:48:11+00:00,
395,egeorge14,2.57 +/- 0.11,-5.17 +/- 0.41,0.71 +/- 0.02,0.53 +/- 0.01,2025-12-01 20:28:27+00:00,
396,Sean-Wong,2.60 +/- 0.10,-4.93 +/- 0.39,0.66 +/- 0.03,0.49 +/- 0.02,2026-01-18 12:29:01+00:00,https://github.com/Wang-Lin-boop/Ouroboros
397,pavan,2.61 +/- 0.10,-5.25 +/- 0.41,0.85 +/- 0.02,0.69 +/- 0.02,2026-01-03 08:58:04+00:00,
398,pavansskumar18,2.61 +/- 0.10,-5.25 +/- 0.41,0.84 +/- 0.02,0.70 +/- 0.02,2026-01-19 05:13:36+00:00,
399,Nandini1,2.62 +/- 0.10,-5.25 +/- 0.41,0.86 +/- 0.02,0.69 +/- 0.02,2026-01-10 11:49:11+00:00,
400,va,2.62 +/- 0.10,-5.26 +/- 0.41,0.85 +/- 0.03,0.69 +/- 0.02,2026-01-13 10:25:04+00:00,
401,NHRI_MTForestNet_3,2.65 +/- 0.10,-5.01 +/- 0.39,0.47 +/- 0.03,0.34 +/- 0.03,2025-11-17 05:41:27+00:00,
402,NHRI_MTForestNet_4,2.65 +/- 0.10,-5.01 +/- 0.39,0.47 +/- 0.03,0.34 +/- 0.03,2025-11-17 05:42:27+00:00,
403,vaishu53,2.65 +/- 0.11,-5.33 +/- 0.42,0.71 +/- 0.02,0.54 +/- 0.02,2026-01-19 09:27:52+00:00,
404,rhlin,2.66 +/- 0.10,-5.03 +/- 0.39,0.48 +/- 0.03,0.35 +/- 0.03,2025-11-17 05:12:33+00:00,https://MTForestNet
405,Luna,2.68 +/- 0.11,-5.32 +/- 0.42,0.22 +/- 0.03,0.16 +/- 0.02,2026-01-17 16:33:50+00:00,
406,alexxi11,2.68 +/- 0.11,-5.32 +/- 0.42,0.22 +/- 0.03,0.16 +/- 0.02,2026-01-17 16:16:51+00:00,
407,Mart78,2.78 +/- 0.12,-5.81 +/- 0.46,-0.10 +/- 0.04,-0.07 +/- 0.03,2025-12-19 13:22:07+00:00,
408,wng3,2.79 +/- 0.11,-5.64 +/- 0.44,0.46 +/- 0.03,0.32 +/- 0.02,2026-01-09 11:30:27+00:00,
409,cathedral,3.08 +/- 0.12,-8.29 +/- 0.58,0.71 +/- 0.02,0.54 +/- 0.02,2026-01-17 15:31:50+00:00,
410,chips,3.79 +/- 0.15,-74.46 +/- 6.01,0.38 +/- 0.04,0.27 +/- 0.03,2026-01-09 21:03:34+00:00,
411,gugys,4.11 +/- 0.12,-31.41 +/- 1.41,-0.21 +/- 0.04,-0.14 +/- 0.03,2025-12-08 05:12:29+00:00,
412,cobalt,8.06 +/- 0.26,-303.29 +/- 16.81,0.00 +/- 0.04,0.00 +/- 0.03,2026-01-19 21:23:21+00:00,
413,spiral,71.67 +/- 2.13,-33652.17 +/- 1816.84,-0.02 +/- 0.04,-0.01 +/- 0.03,2026-01-19 23:54:46+00:00,
414,gamma,128.44 +/- 3.56,-35061.03 +/- 2087.09,0.61 +/- 0.04,0.45 +/- 0.03,2026-01-17 10:57:38+00:00,
