rank,user,MA-RAE,R2,Spearman R,Kendall's Tau,submission time,model details
169,itetko,0.69 +/- 0.03,0.42 +/- 0.04,0.73 +/- 0.02,0.55 +/- 0.02,2026-01-19 23:07:46+00:00,https://docs.google.com/document/d/1wh6lkdgEl7lMLSyxhuMXVd3E4Pqqbo--lPdxb_hoTkM/edit?tab=t.0
170,davidgiganti,0.69 +/- 0.03,0.38 +/- 0.04,0.68 +/- 0.03,0.51 +/- 0.02,2026-01-19 23:59:59+00:00,https://github.com/davidgiganti-ship-it/OpenADMET-ExpansionRx-Challenge
171,Fa987123,0.70 +/- 0.03,0.41 +/- 0.04,0.71 +/- 0.02,0.53 +/- 0.02,2025-11-03 06:31:40+00:00,
172,Cheng-Kuo,0.70 +/- 0.03,0.37 +/- 0.05,0.72 +/- 0.02,0.55 +/- 0.02,2025-12-19 03:04:25+00:00,
173,Roquentin99,0.70 +/- 0.03,0.39 +/- 0.04,0.69 +/- 0.02,0.52 +/- 0.02,2025-11-13 09:11:43+00:00,
174,fiesta_xxl,0.70 +/- 0.03,0.43 +/- 0.04,0.66 +/- 0.03,0.48 +/- 0.02,2025-10-29 23:05:12+00:00,
175,my-alaska,0.70 +/- 0.02,0.44 +/- 0.03,0.66 +/- 0.03,0.49 +/- 0.02,2025-11-06 12:05:36+00:00,
176,jonswain,0.70 +/- 0.03,0.40 +/- 0.04,0.65 +/- 0.03,0.48 +/- 0.02,2025-11-06 05:24:42+00:00,https://github.com/jonswain/OpenADMET_ExpansionRx_Blind_Challenge
177,okidoki,0.70 +/- 0.03,0.38 +/- 0.04,0.70 +/- 0.02,0.52 +/- 0.02,2026-01-13 08:12:45+00:00,
178,eq_az,0.70 +/- 0.02,0.42 +/- 0.04,0.70 +/- 0.03,0.52 +/- 0.02,2026-01-16 21:05:26+00:00,https://drive.google.com/drive/folders/1AE9iD5EHYA7Kri1Z1hywNPXMaQl0-4iQ
179,bionic_beaver,0.71 +/- 0.03,0.43 +/- 0.04,0.69 +/- 0.03,0.51 +/- 0.02,2025-11-11 19:02:26+00:00,
180,OneShot,0.71 +/- 0.03,0.39 +/- 0.05,0.68 +/- 0.03,0.51 +/- 0.02,2025-12-02 23:13:59+00:00,
181,zero-6,0.71 +/- 0.03,0.42 +/- 0.04,0.68 +/- 0.03,0.50 +/- 0.02,2026-01-11 23:25:59+00:00,
182,vanilla,0.71 +/- 0.03,0.38 +/- 0.04,0.68 +/- 0.03,0.51 +/- 0.02,2026-01-16 21:03:34+00:00,
183,VC2,0.71 +/- 0.03,0.37 +/- 0.04,0.68 +/- 0.03,0.51 +/- 0.02,2026-01-19 01:05:41+00:00,
184,mopac79,0.71 +/- 0.03,0.40 +/- 0.04,0.67 +/- 0.03,0.50 +/- 0.02,2025-12-12 09:55:23+00:00,
185,HF2,0.71 +/- 0.03,0.39 +/- 0.04,0.68 +/- 0.03,0.51 +/- 0.02,2025-12-12 23:35:42+00:00,
186,blend_best,0.72 +/- 0.03,0.37 +/- 0.04,0.73 +/- 0.02,0.57 +/- 0.02,2026-01-16 05:23:06+00:00,
187,tp53,0.72 +/- 0.02,0.36 +/- 0.04,0.65 +/- 0.03,0.48 +/- 0.02,2025-12-28 22:21:24+00:00,
188,wwang482,0.72 +/- 0.03,0.39 +/- 0.05,0.71 +/- 0.02,0.54 +/- 0.02,2025-12-10 23:08:53+00:00,
189,3dprint,0.72 +/- 0.02,0.37 +/- 0.04,0.61 +/- 0.03,0.45 +/- 0.02,2026-01-17 21:39:29+00:00,https://tinyurl.com/mnb2csbe
190,femisegvn,0.72 +/- 0.03,0.39 +/- 0.04,0.66 +/- 0.03,0.48 +/- 0.02,2026-01-18 20:55:52+00:00,https://github.com/femisegvn/ExpansionRx-OpenADMET-blind-challenge
191,CNMP_ecfp,0.72 +/- 0.03,0.35 +/- 0.05,0.65 +/- 0.03,0.48 +/- 0.02,2025-12-10 22:10:13+00:00,
192,whitead,0.72 +/- 0.03,0.38 +/- 0.04,0.67 +/- 0.03,0.49 +/- 0.02,2025-11-15 06:08:40+00:00,
193,Gadigopula,0.73 +/- 0.03,0.35 +/- 0.04,0.66 +/- 0.03,0.49 +/- 0.02,2026-01-15 19:14:56+00:00,
194,ChemBri,0.73 +/- 0.03,0.29 +/- 0.05,0.68 +/- 0.03,0.51 +/- 0.02,2025-11-10 04:08:52+00:00,
195,mmahmedHFG,0.73 +/- 0.03,0.40 +/- 0.04,0.68 +/- 0.03,0.51 +/- 0.02,2025-12-12 18:26:30+00:00,
196,caithmac,0.73 +/- 0.03,0.40 +/- 0.04,0.67 +/- 0.03,0.49 +/- 0.02,2025-12-18 11:40:55+00:00,
197,vjvk,0.73 +/- 0.03,0.31 +/- 0.05,0.71 +/- 0.02,0.54 +/- 0.02,2026-01-17 11:54:43+00:00,
198,XeonChem,0.73 +/- 0.03,0.36 +/- 0.05,0.67 +/- 0.03,0.50 +/- 0.02,2026-01-19 23:59:59+00:00,https://docs.google.com/document/d/1-N0GW_6HnSx4rYVoyKCGjGUWxcBXyxwWsmi38lueZck/edit?usp=sharing
199,gadigopula,0.73 +/- 0.03,0.35 +/- 0.05,0.65 +/- 0.03,0.48 +/- 0.02,2026-01-15 17:30:06+00:00,
200,CNMP_cxn,0.73 +/- 0.03,0.38 +/- 0.04,0.70 +/- 0.03,0.52 +/- 0.02,2026-01-08 17:03:49+00:00,
201,wleco22,0.73 +/- 0.03,0.38 +/- 0.04,0.67 +/- 0.03,0.49 +/- 0.02,2026-01-19 10:53:58+00:00,https://docs.google.com/document/d/1wxbX96aE9hxgvmUqbeLkxdDe4sRU1DcBXKB08eLo8G0/edit?usp=sharing
202,midwestmols,0.73 +/- 0.03,0.39 +/- 0.04,0.64 +/- 0.03,0.47 +/- 0.02,2025-11-07 19:43:44+00:00,
203,speller,0.73 +/- 0.03,0.39 +/- 0.04,0.66 +/- 0.03,0.49 +/- 0.02,2025-11-11 15:14:12+00:00,
204,OminousBuzzing,0.73 +/- 0.03,0.39 +/- 0.04,0.71 +/- 0.03,0.53 +/- 0.02,2025-11-24 09:33:19+00:00,
205,zpk,0.73 +/- 0.03,0.36 +/- 0.04,0.64 +/- 0.03,0.47 +/- 0.02,2025-11-20 16:19:09+00:00,
206,MolecularDescriptor,0.73 +/- 0.03,0.39 +/- 0.04,0.65 +/- 0.03,0.48 +/- 0.02,2025-11-04 18:29:11+00:00,
207,vibeADMET,0.73 +/- 0.03,0.39 +/- 0.04,0.64 +/- 0.03,0.47 +/- 0.02,2026-01-19 21:51:12+00:00,https://docs.google.com/document/d/e/2PACX-1vT8yCpYslYvCvcrZuZElChg6XVSx6HH1U4wZ0sLlHy6828LwVCBXSU4FTpwYvL8hDr7ReomL5q_PPki/pub
208,Harshit494,0.74 +/- 0.03,0.39 +/- 0.04,0.66 +/- 0.03,0.49 +/- 0.02,2026-01-19 10:26:15+00:00,https://github.com/research-al/admet-challenge
209,harshit494,0.74 +/- 0.03,0.39 +/- 0.04,0.66 +/- 0.03,0.49 +/- 0.02,2025-12-23 13:37:09+00:00,
210,ridge_regression,0.74 +/- 0.03,0.39 +/- 0.04,0.65 +/- 0.03,0.48 +/- 0.02,2025-11-16 12:25:32+00:00,
211,always_testing,0.74 +/- 0.03,0.40 +/- 0.03,0.64 +/- 0.03,0.47 +/- 0.02,2025-12-18 05:34:50+00:00,
212,xgboost,0.74 +/- 0.03,0.39 +/- 0.04,0.65 +/- 0.03,0.48 +/- 0.02,2025-11-16 12:26:43+00:00,
213,mordred,0.74 +/- 0.03,0.38 +/- 0.04,0.66 +/- 0.03,0.49 +/- 0.02,2025-11-29 20:04:54+00:00,
214,mkruege,0.74 +/- 0.03,0.36 +/- 0.05,0.68 +/- 0.03,0.50 +/- 0.02,2025-12-03 09:55:11+00:00,https://doi.org/10.17617/3.GIKHJL
215,blend-stretch,0.74 +/- 0.03,0.33 +/- 0.05,0.73 +/- 0.02,0.55 +/- 0.02,2026-01-16 06:23:41+00:00,
216,lic,0.74 +/- 0.02,0.38 +/- 0.03,0.66 +/- 0.03,0.48 +/- 0.02,2025-11-15 02:17:22+00:00,
