final rank,initial rank,user,CLD,MAE_display,RAE_display,R2_display,Spearman R_display,Kendall's Tau_display,model details
53,114,lifaen,H,0.2989 ± 0.0031,0.6755 ± 0.0082,0.4048 ± 0.0137,0.6687 ± 0.0077,0.5013 ± 0.0065,https://docs.google.com/document/d/1ng3NAEPVjCxvTXzGQfE4bCtfqj0Tms-Zkxr3YyfHBZA/edit?usp=sharing
54,120,jeremy,I,0.2984 ± 0.0029,0.6813 ± 0.0084,0.4360 ± 0.0135,0.6828 ± 0.0079,0.5118 ± 0.0068,https://github.com/jeremycheminf/openadmet_scripts/tree/main
55,110,theZone,I,0.2941 ± 0.0031,0.6814 ± 0.0094,0.4328 ± 0.0145,0.7123 ± 0.0077,0.5380 ± 0.0065,https://drive.google.com/file/d/12OcLMCjM2S1Wz8yuLXZ3on_xwxGMyg3x/view?usp=drive_link
56,111,KagakuData,I,0.3055 ± 0.0031,0.6815 ± 0.0080,0.4370 ± 0.0121,0.6799 ± 0.0080,0.5052 ± 0.0071,https://github.com/KagakuAI/QSARcons
57,101,diliadis,J,0.3028 ± 0.0030,0.6835 ± 0.0080,0.4369 ± 0.0117,0.6792 ± 0.0075,0.5057 ± 0.0065,https://docs.google.com/document/d/1sdAHKfckhfJBOAnkWTo0iYpFmvKm_nrkSnmymrJgTy0/edit?usp=sharing
58,118,vibdsobeyens,J,0.2995 ± 0.0033,0.6844 ± 0.0089,0.3894 ± 0.0153,0.6562 ± 0.0085,0.4872 ± 0.0071,https://docs.google.com/document/d/1sdAHKfckhfJBOAnkWTo0iYpFmvKm_nrkSnmymrJgTy0/edit?tab=t.0#heading=h.6pqvt9f1ijp7
59,109,leeherman,K,0.3068 ± 0.0032,0.6882 ± 0.0090,0.4120 ± 0.0142,0.6695 ± 0.0081,0.4969 ± 0.0071,https://docs.google.com/document/d/1_VPsW3p-zKztMqxTWbBNwhddvkqRS3ZWLmfO04nU9Lw/edit?usp=sharing
60,138,rez3vil,L,0.3096 ± 0.0031,0.6963 ± 0.0085,0.4110 ± 0.0129,0.6536 ± 0.0084,0.4838 ± 0.0073,https://github.com/rez3vil/OpenADMET-ExpansionRx-Challenge.git
61,143,agitter,M,0.3124 ± 0.0031,0.7015 ± 0.0085,0.4067 ± 0.0130,0.6677 ± 0.0082,0.4949 ± 0.0071,https://github.com/agitter/openadmet-expansionrx-challenge
62,165,riemann,N,0.3138 ± 0.0031,0.7083 ± 0.0082,0.3710 ± 0.0133,0.6500 ± 0.0077,0.4813 ± 0.0065,https://docs.google.com/document/d/1N_huCHcjGN2OpioMyZBE3Pi5LRhVJoG2t3CFkqIHy50/edit?usp=sharing
