final rank,user,MAE_display,RAE_display,R2_display,Spearman R_display,Kendall's Tau_display,model details
25,briford,0.2444 ± 0.0050,0.6834 ± 0.0167,0.4132 ± 0.0257,0.6778 ± 0.0150,0.4957 ± 0.0128,https://github.com/SuperCowPowers/workbench/tree/main/open_admet
26,Universal15,0.2454 ± 0.0048,0.6862 ± 0.0158,0.4281 ± 0.0238,0.7164 ± 0.0135,0.5291 ± 0.0118,https://docs.google.com/document/d/1RQTj1BBOKmtHgXschFUa_ZUdz1a0juRI0eXwnnLkPZE/edit?usp=sharing
27,leeherman,0.2464 ± 0.0045,0.6889 ± 0.0154,0.4474 ± 0.0222,0.7061 ± 0.0135,0.5184 ± 0.0118,https://docs.google.com/document/d/1_VPsW3p-zKztMqxTWbBNwhddvkqRS3ZWLmfO04nU9Lw/edit?usp=sharing
28,c-test,0.2465 ± 0.0045,0.6893 ± 0.0158,0.4527 ± 0.0217,0.7310 ± 0.0130,0.5406 ± 0.0117,https://docs.google.com/document/d/1-JpjWNB5aB2ShLqFGz7Yhf7g-lrMqXV3PHoufH3tho8/edit?tab=t.0
29,XeonChem,0.2470 ± 0.0049,0.6906 ± 0.0173,0.3985 ± 0.0256,0.6863 ± 0.0148,0.5044 ± 0.0128,https://docs.google.com/document/d/1-N0GW_6HnSx4rYVoyKCGjGUWxcBXyxwWsmi38lueZck/edit?usp=sharing
30,JacksonBurns,0.2487 ± 0.0046,0.6953 ± 0.0142,0.4461 ± 0.0201,0.6983 ± 0.0138,0.5095 ± 0.0119,https://github.com/JacksonBurns/openadmet_expansionrx/tree/f8efff6e739555337043574af3657cbe7af3e478
31,KNIMEST,0.2494 ± 0.0044,0.6974 ± 0.0141,0.4456 ± 0.0204,0.6859 ± 0.0140,0.4965 ± 0.0120,https://docs.google.com/document/d/1e0LpSpYW4VM2c9xVnSKykDDpP9lvdUSIsAJ6h1qbt4E/edit?usp=drive_link
32,theZone,0.2516 ± 0.0050,0.7035 ± 0.0170,0.3941 ± 0.0257,0.6847 ± 0.0147,0.5001 ± 0.0126,https://drive.google.com/file/d/12OcLMCjM2S1Wz8yuLXZ3on_xwxGMyg3x/view?usp=drive_link
33,davidgiganti,0.2537 ± 0.0051,0.7093 ± 0.0182,0.3731 ± 0.0273,0.7114 ± 0.0137,0.5266 ± 0.0122,https://github.com/davidgiganti-ship-it/OpenADMET-ExpansionRx-Challenge
34,KagakuData,0.2542 ± 0.0047,0.7108 ± 0.0149,0.4151 ± 0.0215,0.6479 ± 0.0159,0.4697 ± 0.0132,https://github.com/KagakuAI/QSARcons
35,agitter,0.2567 ± 0.0047,0.7177 ± 0.0162,0.4010 ± 0.0233,0.6745 ± 0.0148,0.4905 ± 0.0125,https://github.com/agitter/openadmet-expansionrx-challenge
