final rank,user,MAE_display,RAE_display,R2_display,Spearman R_display,Kendall's Tau_display,model details
24,interstellar-explorer,0.3208 ± 0.0073,0.5588 ± 0.0143,0.5426 ± 0.0216,0.5947 ± 0.0149,0.4195 ± 0.0119,https://docs.google.com/document/d/1cplc30gDCRcweL39KcN27ANOYPi9sZD_tAtfnMwgoeU/edit?usp=sharing
25,Na123,0.3219 ± 0.0067,0.5609 ± 0.0164,0.5836 ± 0.0216,0.6395 ± 0.0138,0.4552 ± 0.0115,https://docs.google.com/document/d/1BUZ010oL0_fNPmp3Iw28NYi-wkSMz5E8b_RHuQ_dp_0/edit?usp=sharing
26,c-test,0.3227 ± 0.0070,0.5623 ± 0.0166,0.5624 ± 0.0234,0.6280 ± 0.0141,0.4444 ± 0.0116,https://docs.google.com/document/d/1-JpjWNB5aB2ShLqFGz7Yhf7g-lrMqXV3PHoufH3tho8/edit?tab=t.0
27,Hydra,0.3231 ± 0.0077,0.5629 ± 0.0143,0.5086 ± 0.0240,0.5379 ± 0.0176,0.3791 ± 0.0135,https://docs.google.com/document/d/1Jbr7aBBScvanrqfzYsnE1m-a3fJxgv_BIcfDQWls6BQ/edit?usp=sharing
28,pykel,0.3236 ± 0.0077,0.5637 ± 0.0118,0.5096 ± 0.0198,0.6259 ± 0.0135,0.4409 ± 0.0109,https://docs.google.com/document/d/e/2PACX-1vSu7dHC9-lGeMKyqHaiiPM3Ji_Mb-eLKKtOd453WzbMSH9bT2Bbct4e1TJ6a0kfquMTwK1V-JirxJDi/pub
29,yanyn,0.3253 ± 0.0072,0.5668 ± 0.0171,0.5451 ± 0.0253,0.6237 ± 0.0143,0.4408 ± 0.0117,https://github.com/yan-notes/openadmet_submit_yan
30,robusta,0.3271 ± 0.0077,0.5700 ± 0.0172,0.5097 ± 0.0270,0.5955 ± 0.0152,0.4189 ± 0.0121,https://github.com/Ngoson2004/OpenADMET-ExpansionRX-Challenge.git
31,Gashaw,0.3287 ± 0.0075,0.5727 ± 0.0170,0.5194 ± 0.0273,0.6245 ± 0.0140,0.4412 ± 0.0115,https://docs.google.com/document/d/1-CgaIBOqN_156l_J2Ujx0tDy7OOq60k1YD0RJTqkG80/edit?usp=sharing
32,Mlzzzzz,0.3298 ± 0.0070,0.5745 ± 0.0133,0.5392 ± 0.0189,0.5721 ± 0.0159,0.4005 ± 0.0124,https://docs.google.com/document/d/1NsDLCBnDzkOVd4bWe7iVAiZ3y-4PUTF3DdlDlJy7j3o/edit?tab=t.0
33,DMakarov,0.3301 ± 0.0076,0.5751 ± 0.0155,0.4942 ± 0.0240,0.5952 ± 0.0148,0.4177 ± 0.0117,https://github.com/MDMISC/OpenADMET
34,martin,0.3317 ± 0.0081,0.5779 ± 0.0183,0.4761 ± 0.0293,0.5887 ± 0.0155,0.4138 ± 0.0123,https://docs.google.com/document/d/1bMJvlXRRXZ6S-ZnoGmGkYXiIbZNwiDCp23j-Oq3pOJ0/edit?tab=t.0#heading=h.bjzyy4l1sb7l
35,kermt-t,0.3347 ± 0.0064,0.5831 ± 0.0150,0.5811 ± 0.0183,0.6228 ± 0.0146,0.4411 ± 0.0120,https://docs.google.com/document/d/1EZ99fCvqHSbhJxk2tqUKNOcVmi-iDENwvK1zuVqGLpc/edit?usp=sharing
36,nrosa1,0.3357 ± 0.0075,0.5849 ± 0.0172,0.5065 ± 0.0268,0.5932 ± 0.0151,0.4165 ± 0.0121,https://github.com/nrosa/openadmet-erx-challenge/blob/main/model_report.md
37,vibdsobeyens,0.3368 ± 0.0083,0.5866 ± 0.0138,0.4462 ± 0.0234,0.5402 ± 0.0162,0.3756 ± 0.0123,https://docs.google.com/document/d/1sdAHKfckhfJBOAnkWTo0iYpFmvKm_nrkSnmymrJgTy0/edit?tab=t.0#heading=h.6pqvt9f1ijp7
38,aglisman,0.3390 ± 0.0076,0.5906 ± 0.0184,0.5045 ± 0.0278,0.6283 ± 0.0139,0.4451 ± 0.0114,https://github.com/alec-glisman/OpenADMET-ExpansionRx-Blind-Challenge/blob/main/MODEL_CARD.md
39,Q_Accel,0.3400 ± 0.0083,0.5922 ± 0.0121,0.4425 ± 0.0210,0.5631 ± 0.0155,0.3929 ± 0.0120,https://docs.google.com/document/d/1f5yJKuEwGoVsXdp3lB_lnuruEi86-M7SNyhrRkBRbDs/edit?usp=sharing
40,Universal15,0.3425 ± 0.0069,0.5967 ± 0.0169,0.5512 ± 0.0215,0.6082 ± 0.0152,0.4304 ± 0.0122,https://docs.google.com/document/d/1RQTj1BBOKmtHgXschFUa_ZUdz1a0juRI0eXwnnLkPZE/edit?usp=sharing
41,beardy-polonium,0.3458 ± 0.0065,0.6025 ± 0.0149,0.5654 ± 0.0186,0.6232 ± 0.0143,0.4425 ± 0.0116,https://drive.google.com/file/d/163hHzi_YIoM26sEFSTQ3Wo-2MzInuHeM/view?usp=drive_link
42,vaishnavi53,0.3472 ± 0.0085,0.6048 ± 0.0173,0.4191 ± 0.0273,0.5408 ± 0.0163,0.3793 ± 0.0126,https://docs.google.com/document/d/1LGw0CJGVm1hCqLDEkIms7YXPMnHH3LADeEmcWn5xwtI/edit?usp=sharing
43,pequqa,0.3485 ± 0.0073,0.6071 ± 0.0148,0.5053 ± 0.0218,0.5777 ± 0.0153,0.4057 ± 0.0120,https://docs.google.com/document/d/12ZIbady_SwV9ICSvMWcKBPoGAZxVbn5_f-xpMaK6iJA/edit?usp=sharing
44,briford,0.3493 ± 0.0080,0.6085 ± 0.0181,0.4655 ± 0.0262,0.5941 ± 0.0147,0.4172 ± 0.0117,https://github.com/SuperCowPowers/workbench/tree/main/open_admet
45,okidoki,0.3501 ± 0.0078,0.6100 ± 0.0188,0.4641 ± 0.0289,0.5915 ± 0.0148,0.4172 ± 0.0117,https://docs.google.com/document/d/1yD6ZppdthvohCvc1fYvUi57Jsxu1XS5nuRYwHEGblp4/edit?tab=t.0
46,UncertainTea,0.3509 ± 0.0067,0.6112 ± 0.0137,0.5316 ± 0.0176,0.6058 ± 0.0144,0.4269 ± 0.0115,https://github.com/un-certain-tea/OpenADMET-ExpansionRx-Challenge
47,KNIMEST,0.3517 ± 0.0079,0.6128 ± 0.0160,0.4404 ± 0.0273,0.5617 ± 0.0156,0.3943 ± 0.0120,https://docs.google.com/document/d/1e0LpSpYW4VM2c9xVnSKykDDpP9lvdUSIsAJ6h1qbt4E/edit?usp=drive_link
48,combo,0.3552 ± 0.0073,0.6188 ± 0.0151,0.4894 ± 0.0212,0.5616 ± 0.0162,0.3949 ± 0.0126,https://docs.google.com/document/d/1oWa1P6HHcntg8GSvAhLG8e576mYATK3HwOhCsVihWx8/edit?usp=drivesdk
49,madie31,0.3552 ± 0.0073,0.6188 ± 0.0151,0.4894 ± 0.0212,0.5616 ± 0.0162,0.3949 ± 0.0126,https://deu01.safelinks.protection.outlook.com/?url=https%3A%2F%2Fdocs.google.com%2Fdocument%2Fd%2F1bwf4dckzznWy4DbNXrNxB_jbWFAwRAGa%2Fedit%3Fusp%3Ddrive_link%26ouid%3D100007225775794272332%26rtpof%3Dtrue%26sd%3Dtrue&data=05%7C02%7CLaetitia.Breuil%40evotec.com%7C6adc287ff3c74acba6d008de56a9a9f2%7C3047e55219ba4ca2a020799287660985%7C0%7C0%7C639043483862053326%7CUnknown%7CTWFpbGZsb3d8eyJFbXB0eU1hcGkiOnRydWUsIlYiOiIwLjAuMDAwMCIsIlAiOiJXaW4zMiIsIkFOIjoiTWFpbCIsIldUIjoyfQ%3D%3D%7C0%7C%7C%7C&sdata=W%2BY9Rq8RyDV5P2u3sO5%2Bi1CT1Tlwlv5tA0qHU%2BkppM0%3D&reserved=0
50,lifaen,0.3566 ± 0.0075,0.6212 ± 0.0126,0.4663 ± 0.0201,0.5496 ± 0.0159,0.3837 ± 0.0122,https://docs.google.com/document/d/1ng3NAEPVjCxvTXzGQfE4bCtfqj0Tms-Zkxr3YyfHBZA/edit?usp=sharing
51,Shorku,0.3617 ± 0.0063,0.6302 ± 0.0152,0.5407 ± 0.0180,0.6053 ± 0.0145,0.4256 ± 0.0116,https://github.com/Shorku/OpenADMET_ExpansionRx_Blind_Challenge
52,ZaZdrowie,0.3638 ± 0.0073,0.6339 ± 0.0178,0.4918 ± 0.0230,0.6007 ± 0.0148,0.4243 ± 0.0118,https://gist.github.com/vchupakhinslp/4eac9f483b2b55168ed4f0d10d92455c
53,median3,0.3655 ± 0.0067,0.6367 ± 0.0145,0.5019 ± 0.0188,0.5758 ± 0.0156,0.4045 ± 0.0122,https://docs.google.com/document/d/1TC8rbtKGD0wOh3CmvKCnoz_Lkflniip9-4IgKkBPOY8/edit?usp=sharing
