final rank,user,MAE_display,RAE_display,R2_display,Spearman R_display,Kendall's Tau_display,model details
23,madie31,0.1912 ± 0.0079,0.5960 ± 0.0302,0.5761 ± 0.0391,0.7469 ± 0.0244,0.5616 ± 0.0226,https://deu01.safelinks.protection.outlook.com/?url=https%3A%2F%2Fdocs.google.com%2Fdocument%2Fd%2F1bwf4dckzznWy4DbNXrNxB_jbWFAwRAGa%2Fedit%3Fusp%3Ddrive_link%26ouid%3D100007225775794272332%26rtpof%3Dtrue%26sd%3Dtrue&data=05%7C02%7CLaetitia.Breuil%40evotec.com%7C6adc287ff3c74acba6d008de56a9a9f2%7C3047e55219ba4ca2a020799287660985%7C0%7C0%7C639043483862053326%7CUnknown%7CTWFpbGZsb3d8eyJFbXB0eU1hcGkiOnRydWUsIlYiOiIwLjAuMDAwMCIsIlAiOiJXaW4zMiIsIkFOIjoiTWFpbCIsIldUIjoyfQ%3D%3D%7C0%7C%7C%7C&sdata=W%2BY9Rq8RyDV5P2u3sO5%2Bi1CT1Tlwlv5tA0qHU%2BkppM0%3D&reserved=0
24,kermt-t,0.1926 ± 0.0070,0.6004 ± 0.0284,0.6087 ± 0.0332,0.8080 ± 0.0190,0.6192 ± 0.0197,https://docs.google.com/document/d/1EZ99fCvqHSbhJxk2tqUKNOcVmi-iDENwvK1zuVqGLpc/edit?usp=sharing
25,Proper,0.1929 ± 0.0065,0.6014 ± 0.0263,0.6308 ± 0.0288,0.8226 ± 0.0178,0.6335 ± 0.0189,https://docs.google.com/document/d/103DSkl24b98QG8McQmDVck-3n66LbIPml6r8ND_NldM/edit?usp=sharing
26,c-test,0.1937 ± 0.0071,0.6039 ± 0.0292,0.6033 ± 0.0349,0.8083 ± 0.0194,0.6214 ± 0.0201,https://docs.google.com/document/d/1-JpjWNB5aB2ShLqFGz7Yhf7g-lrMqXV3PHoufH3tho8/edit?tab=t.0
27,pequqa,0.1946 ± 0.0067,0.6065 ± 0.0206,0.6265 ± 0.0217,0.8113 ± 0.0181,0.6175 ± 0.0185,https://docs.google.com/document/d/12ZIbady_SwV9ICSvMWcKBPoGAZxVbn5_f-xpMaK6iJA/edit?usp=sharing
28,chundu05,0.1949 ± 0.0070,0.6073 ± 0.0211,0.6089 ± 0.0260,0.7762 ± 0.0218,0.5875 ± 0.0211,https://docs.google.com/document/d/1DMiIxDK20FzTZgmBoZsy_FQw0iJGHhZYAhiNAc_SV_Q/edit?tab=t.0#heading=h.s2yx44dt2a2z
29,Artichoke,0.1950 ± 0.0068,0.6081 ± 0.0280,0.6134 ± 0.0324,0.7946 ± 0.0200,0.6084 ± 0.0203,https://docs.google.com/document/d/1Mbw0uKDZsQ8QAnQO5uBAdS8x3Z-UTfMhP1fqx2pqTD8/edit?usp=sharing
30,davidgiganti,0.1972 ± 0.0075,0.6237 ± 0.0228,0.5800 ± 0.0295,0.7410 ± 0.0254,0.5585 ± 0.0231,https://github.com/davidgiganti-ship-it/OpenADMET-ExpansionRx-Challenge
31,Na123,0.1972 ± 0.0070,0.6149 ± 0.0299,0.5907 ± 0.0367,0.8037 ± 0.0198,0.6166 ± 0.0200,https://docs.google.com/document/d/1BUZ010oL0_fNPmp3Iw28NYi-wkSMz5E8b_RHuQ_dp_0/edit?usp=sharing
32,Ensem,0.1972 ± 0.0070,0.6149 ± 0.0299,0.5907 ± 0.0367,0.8037 ± 0.0198,0.6166 ± 0.0200,https://docs.google.com/document/d/1BUZ010oL0_fNPmp3Iw28NYi-wkSMz5E8b_RHuQ_dp_0/edit?tab=t.0
33,ZaZdrowie,0.1972 ± 0.0076,0.6146 ± 0.0257,0.5855 ± 0.0315,0.7520 ± 0.0238,0.5628 ± 0.0221,https://gist.github.com/vchupakhinslp/4eac9f483b2b55168ed4f0d10d92455c
34,Gashaw,0.1973 ± 0.0071,0.6151 ± 0.0252,0.5993 ± 0.0294,0.7775 ± 0.0213,0.5878 ± 0.0210,https://docs.google.com/document/d/1-CgaIBOqN_156l_J2Ujx0tDy7OOq60k1YD0RJTqkG80/edit?usp=sharing
35,Universal15,0.1989 ± 0.0078,0.6201 ± 0.0289,0.5662 ± 0.0375,0.7635 ± 0.0231,0.5775 ± 0.0218,https://docs.google.com/document/d/1RQTj1BBOKmtHgXschFUa_ZUdz1a0juRI0eXwnnLkPZE/edit?usp=sharing
36,UncertainTea,0.1994 ± 0.0077,0.6216 ± 0.0304,0.5720 ± 0.0366,0.7789 ± 0.0214,0.5885 ± 0.0213,https://github.com/un-certain-tea/OpenADMET-ExpansionRx-Challenge
37,vaishnavi53,0.1994 ± 0.0075,0.6217 ± 0.0276,0.5807 ± 0.0325,0.7745 ± 0.0217,0.5850 ± 0.0212,https://docs.google.com/document/d/1LGw0CJGVm1hCqLDEkIms7YXPMnHH3LADeEmcWn5xwtI/edit?usp=sharing
38,Mlzzzzz,0.2014 ± 0.0079,0.6279 ± 0.0274,0.5556 ± 0.0340,0.7401 ± 0.0237,0.5514 ± 0.0220,https://docs.google.com/document/d/1NsDLCBnDzkOVd4bWe7iVAiZ3y-4PUTF3DdlDlJy7j3o/edit?tab=t.0
39,rced_nvx,0.2022 ± 0.0077,0.6305 ± 0.0313,0.5610 ± 0.0388,0.7511 ± 0.0235,0.5633 ± 0.0224,https://github.com/cedenoruel/OpenADMET-ExpansionRx-Blind-Challenge/blob/main/README.md
40,tibo,0.2027 ± 0.0078,0.6320 ± 0.0315,0.5571 ± 0.0394,0.7492 ± 0.0237,0.5615 ± 0.0225,https://github.com/Tibogoss/OpenADMET-ExpansionRx/blob/main/README.md
41,iCsmiles,0.2056 ± 0.0084,0.6407 ± 0.0247,0.5264 ± 0.0354,0.6997 ± 0.0287,0.5236 ± 0.0248,https://huggingface.co/datasets/JustLeonard/ML/blob/main/readmev2.pdf
