final rank,user,MAE_display,RAE_display,R2_display,Spearman R_display,Kendall's Tau_display,model details
21,madie31,0.3269 ± 0.0080,0.6954 ± 0.0118,0.3101 ± 0.0192,0.7162 ± 0.0126,0.5167 ± 0.0110,https://deu01.safelinks.protection.outlook.com/?url=https%3A%2F%2Fdocs.google.com%2Fdocument%2Fd%2F1bwf4dckzznWy4DbNXrNxB_jbWFAwRAGa%2Fedit%3Fusp%3Ddrive_link%26ouid%3D100007225775794272332%26rtpof%3Dtrue%26sd%3Dtrue&data=05%7C02%7CLaetitia.Breuil%40evotec.com%7C6adc287ff3c74acba6d008de56a9a9f2%7C3047e55219ba4ca2a020799287660985%7C0%7C0%7C639043483862053326%7CUnknown%7CTWFpbGZsb3d8eyJFbXB0eU1hcGkiOnRydWUsIlYiOiIwLjAuMDAwMCIsIlAiOiJXaW4zMiIsIkFOIjoiTWFpbCIsIldUIjoyfQ%3D%3D%7C0%7C%7C%7C&sdata=W%2BY9Rq8RyDV5P2u3sO5%2Bi1CT1Tlwlv5tA0qHU%2BkppM0%3D&reserved=0
22,vaishnavi53,0.3289 ± 0.0066,0.6997 ± 0.0119,0.3898 ± 0.0213,0.7078 ± 0.0135,0.5290 ± 0.0117,https://docs.google.com/document/d/1LGw0CJGVm1hCqLDEkIms7YXPMnHH3LADeEmcWn5xwtI/edit?usp=sharing
23,nrosa1,0.3293 ± 0.0086,0.7005 ± 0.0172,0.2382 ± 0.0412,0.7529 ± 0.0125,0.5605 ± 0.0110,https://github.com/nrosa/openadmet-erx-challenge/blob/main/model_report.md
24,beardy-polonium,0.3301 ± 0.0076,0.7023 ± 0.0145,0.3144 ± 0.0234,0.7266 ± 0.0130,0.5319 ± 0.0113,https://drive.google.com/file/d/163hHzi_YIoM26sEFSTQ3Wo-2MzInuHeM/view?usp=drive_link
25,yanyn,0.3314 ± 0.0078,0.7049 ± 0.0128,0.2966 ± 0.0204,0.7472 ± 0.0121,0.5512 ± 0.0107,https://github.com/yan-notes/openadmet_submit_yan
26,molairity,0.3320 ± 0.0074,0.7063 ± 0.0128,0.3287 ± 0.0191,0.7177 ± 0.0134,0.5239 ± 0.0115,https://docs.google.com/document/d/1gszarZfGCUkn6ZyPhTazd0C3fyjuM3d2vcYY5EW7Lxw/edit?usp=sharing
27,Proper,0.3345 ± 0.0076,0.7117 ± 0.0120,0.2920 ± 0.0195,0.7415 ± 0.0115,0.5413 ± 0.0102,https://docs.google.com/document/d/103DSkl24b98QG8McQmDVck-3n66LbIPml6r8ND_NldM/edit?usp=sharing
28,wikke69,0.3349 ± 0.0078,0.7124 ± 0.0123,0.2894 ± 0.0191,0.7389 ± 0.0121,0.5400 ± 0.0105,https://gist.github.com/dehaenw/1318d2265db7ab2744306a7b26e1c535
29,KNIMEST,0.3379 ± 0.0077,0.7188 ± 0.0123,0.2843 ± 0.0204,0.6821 ± 0.0138,0.4924 ± 0.0114,https://docs.google.com/document/d/1e0LpSpYW4VM2c9xVnSKykDDpP9lvdUSIsAJ6h1qbt4E/edit?usp=drive_link
30,temal,0.3383 ± 0.0082,0.7197 ± 0.0132,0.2514 ± 0.0223,0.7341 ± 0.0124,0.5403 ± 0.0109,https://docs.google.com/document/d/1IqyTGGB2FLgYpptyst0XdTmZCHMETdX3/edit?usp=sharing&ouid=109801295390196144877&rtpof=true&sd=true
31,chiliflake,0.3390 ± 0.0082,0.7212 ± 0.0138,0.2456 ± 0.0229,0.7149 ± 0.0119,0.5139 ± 0.0103,https://docs.google.com/document/d/e/2PACX-1vR3i2EDTBjTZRKv2EIU0HJeCZRVPHpRk4LQ_LKuexDPphwveWyVCLWNZECGrW7KXPL9ZqdGNApNWh37/pub
32,Hydra,0.3414 ± 0.0078,0.7263 ± 0.0160,0.2648 ± 0.0267,0.7241 ± 0.0130,0.5277 ± 0.0112,https://docs.google.com/document/d/1Jbr7aBBScvanrqfzYsnE1m-a3fJxgv_BIcfDQWls6BQ/edit?usp=sharing
33,tmp1234,0.3421 ± 0.0078,0.7279 ± 0.0150,0.2843 ± 0.0279,0.7189 ± 0.0138,0.5287 ± 0.0117,https://docs.google.com/document/d/e/2PACX-1vQ1OAnGO4ZvVFwiiSUmFvaBfk8Hjetun_yDboslS6-p0GglV3vAgV1gZ1fJT0g1PtRlXcuS50kodogE/pub
34,agitter,0.3423 ± 0.0081,0.7282 ± 0.0135,0.2572 ± 0.0224,0.7113 ± 0.0132,0.5159 ± 0.0113,https://github.com/agitter/openadmet-expansionrx-challenge
