final rank,user,MAE_display,RAE_display,R2_display,Spearman R_display,Kendall's Tau_display,model details
24,pykel,0.3508 ± 0.0073,0.4320 ± 0.0097,0.7760 ± 0.0129,0.8946 ± 0.0057,0.7359 ± 0.0068,https://docs.google.com/document/d/e/2PACX-1vSu7dHC9-lGeMKyqHaiiPM3Ji_Mb-eLKKtOd453WzbMSH9bT2Bbct4e1TJ6a0kfquMTwK1V-JirxJDi/pub
25,vaishnavi53,0.3526 ± 0.0069,0.4342 ± 0.0091,0.7828 ± 0.0107,0.8904 ± 0.0057,0.7282 ± 0.0067,https://docs.google.com/document/d/1LGw0CJGVm1hCqLDEkIms7YXPMnHH3LADeEmcWn5xwtI/edit?usp=sharing
26,chiliflake,0.3543 ± 0.0064,0.4363 ± 0.0093,0.7963 ± 0.0092,0.9052 ± 0.0051,0.7479 ± 0.0062,https://docs.google.com/document/d/e/2PACX-1vR3i2EDTBjTZRKv2EIU0HJeCZRVPHpRk4LQ_LKuexDPphwveWyVCLWNZECGrW7KXPL9ZqdGNApNWh37/pub
27,overfit,0.3544 ± 0.0081,0.4365 ± 0.0101,0.7516 ± 0.0189,0.8857 ± 0.0070,0.7296 ± 0.0075,https://docs.google.com/document/d/16QIFGZRlQbZGRnP7PKODNLCRiq029fDoMiEiVFF03hE/edit?usp=sharing
28,jeremy,0.3552 ± 0.0066,0.4374 ± 0.0098,0.7900 ± 0.0102,0.8926 ± 0.0059,0.7338 ± 0.0070,https://github.com/jeremycheminf/openadmet_scripts/tree/main
29,Artichoke,0.3567 ± 0.0077,0.4393 ± 0.0107,0.7540 ± 0.0136,0.8871 ± 0.0072,0.7384 ± 0.0077,https://docs.google.com/document/d/1Mbw0uKDZsQ8QAnQO5uBAdS8x3Z-UTfMhP1fqx2pqTD8/edit?usp=sharing
30,JacksonBurns,0.3581 ± 0.0075,0.4410 ± 0.0102,0.7649 ± 0.0137,0.8912 ± 0.0059,0.7311 ± 0.0069,https://github.com/JacksonBurns/openadmet_expansionrx/tree/f8efff6e739555337043574af3657cbe7af3e478
31,aglisman,0.3608 ± 0.0082,0.4443 ± 0.0107,0.7425 ± 0.0153,0.8823 ± 0.0067,0.7252 ± 0.0075,https://github.com/alec-glisman/OpenADMET-ExpansionRx-Blind-Challenge/blob/main/MODEL_CARD.md
32,temal,0.3633 ± 0.0071,0.4474 ± 0.0095,0.7756 ± 0.0110,0.8989 ± 0.0055,0.7402 ± 0.0066,https://docs.google.com/document/d/1IqyTGGB2FLgYpptyst0XdTmZCHMETdX3/edit?usp=sharing&ouid=109801295390196144877&rtpof=true&sd=true
33,liberica,0.3652 ± 0.0068,0.4498 ± 0.0095,0.7783 ± 0.0110,0.9040 ± 0.0053,0.7489 ± 0.0064,https://github.com/Ngoson2004/OpenADMET-ExpansionRX-Challenge.git
34,Mlzzzzz,0.3676 ± 0.0066,0.4526 ± 0.0092,0.7835 ± 0.0097,0.8884 ± 0.0058,0.7247 ± 0.0068,https://docs.google.com/document/d/1NsDLCBnDzkOVd4bWe7iVAiZ3y-4PUTF3DdlDlJy7j3o/edit?tab=t.0
35,briford,0.3723 ± 0.0082,0.4584 ± 0.0107,0.7315 ± 0.0155,0.8726 ± 0.0073,0.7147 ± 0.0078,https://github.com/SuperCowPowers/workbench/tree/main/open_admet
36,rappleton,0.3745 ± 0.0081,0.4612 ± 0.0104,0.7346 ± 0.0152,0.8690 ± 0.0072,0.7069 ± 0.0078,https://github.com/R-applet/ADMET_Challenge_2025/tree/main
37,Q_Accel,0.3751 ± 0.0064,0.4619 ± 0.0102,0.7778 ± 0.0109,0.8885 ± 0.0059,0.7272 ± 0.0069,https://docs.google.com/document/d/1f5yJKuEwGoVsXdp3lB_lnuruEi86-M7SNyhrRkBRbDs/edit?usp=sharing
38,mechaman,0.3789 ± 0.0069,0.4666 ± 0.0095,0.7651 ± 0.0098,0.9029 ± 0.0054,0.7458 ± 0.0066,https://docs.google.com/document/d/1AKNCdPrxqh9QTG1RwOPitm7AUvUHLNl341EzFl9t4o8/edit?usp=sharing
39,Proper,0.3790 ± 0.0079,0.4668 ± 0.0099,0.7427 ± 0.0154,0.8793 ± 0.0066,0.7193 ± 0.0075,https://docs.google.com/document/d/103DSkl24b98QG8McQmDVck-3n66LbIPml6r8ND_NldM/edit?usp=sharing
40,robusta,0.3806 ± 0.0090,0.4687 ± 0.0115,0.7056 ± 0.0203,0.8670 ± 0.0081,0.7115 ± 0.0082,https://github.com/Ngoson2004/OpenADMET-ExpansionRX-Challenge.git
41,beardy-polonium,0.3813 ± 0.0078,0.4696 ± 0.0099,0.7341 ± 0.0146,0.8710 ± 0.0071,0.7106 ± 0.0078,https://drive.google.com/file/d/163hHzi_YIoM26sEFSTQ3Wo-2MzInuHeM/view?usp=drive_link
42,nrosa1,0.3843 ± 0.0096,0.4732 ± 0.0123,0.6815 ± 0.0205,0.8641 ± 0.0080,0.7083 ± 0.0084,https://github.com/nrosa/openadmet-erx-challenge/blob/main/model_report.md
43,tespharma,0.3904 ± 0.0072,0.4807 ± 0.0109,0.7561 ± 0.0110,0.8689 ± 0.0064,0.6970 ± 0.0074,https://docs.google.com/document/d/1ydaJf4kJOlfVOoYlXTEU0JNrINWhEwfM0NSPXJU-FtU/edit?usp=sharing
44,UncertainTea,0.3909 ± 0.0078,0.4814 ± 0.0107,0.7351 ± 0.0133,0.8584 ± 0.0077,0.6929 ± 0.0081,https://github.com/un-certain-tea/OpenADMET-ExpansionRx-Challenge
45,WakuwakuADMET,0.3912 ± 0.0089,0.4817 ± 0.0121,0.6986 ± 0.0182,0.8672 ± 0.0077,0.7069 ± 0.0080,https://huggingface.co/WakuwakuADMET/OpenADMET_ExpansionRx_Challenge_Methodology_Report
46,median3,0.3917 ± 0.0085,0.4824 ± 0.0104,0.7120 ± 0.0181,0.8562 ± 0.0080,0.6926 ± 0.0083,https://docs.google.com/document/d/1TC8rbtKGD0wOh3CmvKCnoz_Lkflniip9-4IgKkBPOY8/edit?usp=sharing
47,EGabrielle,0.3957 ± 0.0078,0.4873 ± 0.0109,0.7224 ± 0.0144,0.8655 ± 0.0068,0.6976 ± 0.0076,https://github.com/etiu/Openadmet_competition_v2
48,chundu05,0.3967 ± 0.0074,0.4886 ± 0.0110,0.7412 ± 0.0131,0.8533 ± 0.0079,0.6851 ± 0.0083,https://docs.google.com/document/d/1DMiIxDK20FzTZgmBoZsy_FQw0iJGHhZYAhiNAc_SV_Q/edit?tab=t.0#heading=h.s2yx44dt2a2z
49,ellieberry,0.3969 ± 0.0076,0.4888 ± 0.0108,0.7313 ± 0.0132,0.8894 ± 0.0061,0.7292 ± 0.0072,https://github.com/etiu/Openadmet_competition_v2
50,davidgiganti,0.3973 ± 0.0082,0.4893 ± 0.0103,0.7134 ± 0.0154,0.8605 ± 0.0071,0.6928 ± 0.0078,https://github.com/davidgiganti-ship-it/OpenADMET-ExpansionRx-Challenge
51,DMakarov,0.3984 ± 0.0082,0.4906 ± 0.0107,0.7187 ± 0.0143,0.8532 ± 0.0081,0.6869 ± 0.0084,https://github.com/MDMISC/OpenADMET
